Year,player,age,team_id,pos,votes,pct_of_vote,first,second,third,fourth,fifth,goals,assists,points,plus_minus,wins_goalie,losses_goalie,ties_goalie,goals_against_avg,save_pct,ops,dps,gps,ps
2015,Shea Weber,29,Nashville Predators,D,1,0.06,0,0,0,0,1,15,30,45,15,,,,,,4.2,5.4,0.0,9.6
2016,Patrick Kane,27,Chicago Blackhawks,RW,1395,93.00,121,22,5,2,0,46,60,106,17,,,,,,12.4,2.6,0.0,15.0
2016,Sidney Crosby,28,Pittsburgh Penguins,C,800,53.33,11,64,31,24,15,36,49,85,19,,,,,,9.1,2.4,0.0,11.5
2016,Jamie Benn,26,Dallas Stars,LW,637,42.47,8,34,40,34,17,41,48,89,7,,,,,,10.3,1.7,0.0,12.1
2016,Braden Holtby,26,Washington Capitals,G,292,19.47,5,13,19,13,17,0,1,1,0,48,9,7,2.20,.922,0.0,0.0,12.1,12.1
2016,Joe Thornton,36,San Jose Sharks,C,267,17.80,0,8,19,31,23,19,63,82,25,,,,,,7.1,2.9,0.0,10.0
2016,Alex Ovechkin,30,Washington Capitals,LW,212,14.13,2,6,18,13,21,50,21,71,21,,,,,,9.1,2.6,0.0,11.7
2016,Jaromir Jagr,43,Florida Panthers,RW,60,4.00,1,1,5,4,6,27,39,66,23,,,,,,6.9,2.3,0.0,9.2
2016,Anze Kopitar,28,Los Angeles Kings,C,53,3.53,1,0,2,8,9,25,49,74,34,,,,,,6.5,3.3,0.0,9.7
2016,Erik Karlsson,25,Ottawa Senators,D,44,2.93,0,1,4,2,11,16,66,82,-2,,,,,,8.4,3.2,0.0,11.7
2016,Ben Bishop,29,Tampa Bay Lightning,G,42,2.80,1,1,1,4,8,0,1,1,0,35,21,4,2.06,.926,0.0,0.0,12.2,12.2
2016,Drew Doughty,26,Los Angeles Kings,D,29,1.93,0,0,2,5,4,14,37,51,24,,,,,,4.5,7.1,0.0,11.6
2016,Vladimir Tarasenko,24,St. Louis Blues,RW,13,0.87,0,0,1,1,5,40,34,74,7,,,,,,8.7,2.1,0.0,10.8
2016,John Tavares,25,New York Islanders,C,10,0.67,0,0,0,2,4,33,37,70,6,,,,,,7.4,1.9,0.0,9.3
2016,Joe Pavelski,31,San Jose Sharks,C,8,0.53,0,0,0,2,2,38,40,78,25,,,,,,8.4,3.0,0.0,11.5
2016,Roberto Luongo,36,Florida Panthers,G,8,0.53,0,0,0,1,5,0,2,2,0,35,19,6,2.35,.922,0.0,0.0,12.1,12.1
2016,Claude Giroux,28,Philadelphia Flyers,C,6,0.40,0,0,1,0,1,22,45,67,-8,,,,,,5.4,1.5,0.0,6.9
2016,Cory Schneider,29,New Jersey Devils,G,5,0.33,0,0,1,0,0,0,0,0,0,27,25,6,2.15,.924,0.0,0.0,11.1,11.1
2016,Henrik Lundqvist,33,New York Rangers,G,5,0.33,0,0,1,0,0,0,4,4,0,35,21,7,2.48,.920,0.0,0.0,12.6,12.6
2016,Evgeny Kuznetsov,23,Washington Capitals,C,4,0.27,0,0,0,1,1,20,57,77,27,,,,,,6.9,2.6,0.0,9.6
2016,Brent Burns,30,San Jose Sharks,D,3,0.20,0,0,0,1,0,27,48,75,-5,,,,,,8.8,4.1,0.0,12.9
2016,Ryan Getzlaf,30,Anaheim Ducks,C,3,0.20,0,0,0,1,0,13,50,63,14,,,,,,4.4,2.6,0.0,7.0
2016,Ryan Kesler,31,Anaheim Ducks,C,3,0.20,0,0,0,1,0,21,32,53,5,,,,,,4.1,2.3,0.0,6.4
2016,Kris Letang,28,Pittsburgh Penguins,D,1,0.07,0,0,0,0,1,16,51,67,9,,,,,,7.0,4.3,0.0,11.3
2017,Connor McDavid,20,Edmonton Oilers,C,1604,96.05,147,17,3,0,0,30,70,100,27,,,,,,9.7,3.0,0.0,12.8
2017,Sidney Crosby,29,Pittsburgh Penguins,C,1104,66.11,14,119,19,11,3,44,45,89,17,,,,,,10.5,1.7,0.0,12.3
2017,Sergei Bobrovsky,28,Columbus Blue Jackets,G,469,28.08,4,17,40,29,23,0,0,0,0,41,17,5,2.06,.931,0.0,0.0,14.9,14.9
2017,Brent Burns,31,San Jose Sharks,D,273,16.35,1,3,25,29,30,29,47,76,19,,,,,,8.9,6.4,0.0,15.3
2017,Erik Karlsson,26,Ottawa Senators,D,258,15.45,0,5,28,23,14,17,54,71,10,,,,,,7.2,5.7,0.0,12.9
2017,Patrick Kane,28,Chicago Blackhawks,RW,206,12.34,0,3,20,20,25,34,55,89,11,,,,,,8.7,2.1,0.0,10.8
2017,Brad Marchand,28,Boston Bruins,LW,184,11.02,1,1,14,22,31,39,46,85,18,,,,,,9.8,2.8,0.0,12.6
2017,Nikita Kucherov,23,Tampa Bay Lightning,RW,119,7.13,0,0,11,15,19,40,45,85,13,,,,,,9.7,2.2,0.0,12.0
2017,Nicklas Backstrom,29,Washington Capitals,C,60,3.59,0,0,3,11,12,23,63,86,17,,,,,,7.8,2.1,0.0,9.9
2017,Braden Holtby,27,Washington Capitals,G,19,1.14,0,0,2,3,0,0,0,0,0,42,13,6,2.07,.925,0.0,0.0,12.3,12.3
2017,Auston Matthews,19,Toronto Maple Leafs,C,17,1.02,0,0,2,1,4,40,29,69,2,,,,,,8.2,1.5,0.0,9.7
2017,Alex Ovechkin,31,Washington Capitals,LW,7,0.42,0,1,0,0,0,33,36,69,6,,,,,,7.0,1.7,0.0,8.7
2017,Ryan Suter,32,Minnesota Wild,D,7,0.42,0,1,0,0,0,9,31,40,34,,,,,,2.7,6.6,0.0,9.3
2017,Victor Hedman,26,Tampa Bay Lightning,D,5,0.30,0,0,0,1,2,16,56,72,3,,,,,,7.3,4.7,0.0,12.0
2017,Devan Dubnyk,30,Minnesota Wild,G,4,0.24,0,0,0,1,1,0,0,0,0,40,19,5,2.25,.923,0.0,0.0,13.1,13.1
2017,Vladimir Tarasenko,25,St. Louis Blues,RW,4,0.24,0,0,0,1,1,39,36,75,-1,,,,,,8.4,1.7,0.0,10.2
2017,Cam Atkinson,27,Columbus Blue Jackets,RW,1,0.06,0,0,0,0,1,35,27,62,13,,,,,,6.8,2.0,0.0,8.9
2017,Cam Talbot,29,Edmonton Oilers,G,1,0.06,0,0,0,0,1,0,0,0,0,42,22,8,2.39,.919,0.0,0.0,14.0,14.0
2018,Taylor Hall,26,New Jersey Devils,LW,1264,77.07,72,62,19,4,3,39,54,93,14,,,,,,9.9,2.3,0.0,12.2
2018,Nathan MacKinnon,22,Colorado Avalanche,C,1194,72.80,60,66,19,11,4,39,58,97,11,,,,,,10.0,2.2,0.0,12.2
2018,Anze Kopitar,30,Los Angeles Kings,C,551,33.60,11,11,41,49,12,35,57,92,21,,,,,,7.9,3.1,0.0,11.0
2018,Claude Giroux,30,Philadelphia Flyers,C/RW,546,33.29,10,10,44,45,21,34,68,102,28,,,,,,9.0,2.8,0.0,11.8
2018,Connor McDavid,21,Edmonton Oilers,C,270,16.46,6,5,19,16,32,41,67,108,20,,,,,,10.5,2.6,0.0,13.1
2018,Nikita Kucherov,24,Tampa Bay Lightning,RW,166,10.12,0,6,8,15,39,39,61,100,15,,,,,,9.8,1.8,0.0,11.6
2018,Evgeni Malkin,31,Pittsburgh Penguins,C,97,5.91,3,2,6,5,8,42,56,98,16,,,,,,10.2,2.2,0.0,12.4
2018,Blake Wheeler,31,Winnipeg Jets,RW,69,4.21,1,2,1,6,22,23,68,91,13,,,,,,7.1,2.1,0.0,9.2
2018,Alex Ovechkin,32,Washington Capitals,LW,37,2.26,0,0,2,5,12,49,38,87,3,,,,,,9.3,1.9,0.0,11.2
2018,William Karlsson,25,Vegas Golden Knights,C,32,1.95,1,0,3,2,1,43,35,78,49,,,,,,8.3,3.5,0.0,11.8
2018,Brad Marchand,29,Boston Bruins,LW,10,0.61,0,0,2,0,0,34,51,85,25,,,,,,8.4,2.5,0.0,11.0
2018,Pekka Rinne,35,Nashville Predators,G,9,0.55,0,0,0,2,3,0,1,1,0,42,13,4,2.31,.927,0.0,0.0,13.2,13.2
2018,Connor Hellebuyck,24,Winnipeg Jets,G,5,0.30,0,0,0,1,2,0,2,2,0,44,11,9,2.36,.924,0.0,0.0,14.0,14.0
2018,Artemi Panarin,26,Columbus Blue Jackets,LW,4,0.24,0,0,0,1,1,27,55,82,23,,,,,,6.8,2.6,0.0,9.4
2018,Sergei Bobrovsky,29,Columbus Blue Jackets,G,3,0.18,0,0,0,1,0,0,3,3,0,37,22,6,2.42,.921,0.0,0.0,12.9,12.9
2018,Drew Doughty,28,Los Angeles Kings,D,3,0.18,0,0,0,1,0,10,50,60,23,,,,,,4.4,7.3,0.0,11.7
2018,Patrice Bergeron,32,Boston Bruins,C,1,0.06,0,0,0,0,1,30,33,63,21,,,,,,6.0,2.3,0.0,8.3
2018,Sidney Crosby,30,Pittsburgh Penguins,C,1,0.06,0,0,0,0,1,29,60,89,0,,,,,,7.3,1.8,0.0,9.1
2018,Victor Hedman,27,Tampa Bay Lightning,D,1,0.06,0,0,0,0,1,17,46,63,32,,,,,,5.7,5.2,0.0,11.0
2018,Eric Staal,33,Minnesota Wild,C,1,0.06,0,0,0,0,1,42,34,76,8,,,,,,8.0,1.8,0.0,9.8
