player,age,team_id,pos,goals,assists,points,plus_minus,wins_goalie,losses_goalie,ties_goalie,goals_against_avg,save_pct,ops,dps,gps,ps
Christian Fischer,21,ARI,RW,11,7,18,-13,,,,,,,,,1.3
Haydn Fleury,22,CAR,D,0,1,1,4,,,,,,,,,0.7
Warren Foegele,22,CAR,LW,10,5,15,-17,,,,,,,,,0.4
Steven Fogarty,25,NYR,C,0,0,0,-1,,,,,,,,,-0.2
Marcus Foligno,27,MIN,LW,7,12,19,-1,,,,,,,,,1.2
Nick Foligno,31,CBJ,LW,17,18,35,12,,,,,,,,,3.6
Christian Folin,27,TOT,D,0,6,6,6,,,,,,,,,1.6
Christian Folin,27,PHI,D,0,2,2,5,,,,,,,,,0.9
Christian Folin,27,MTL,D,0,4,4,1,,,,,,,,,0.7
Derek Forbort,26,LAK,D,2,12,14,-13,,,,,,,,,2.8
Player,Age,Tm,Pos,G,A,PTS,+/-,,,,,,,,,PS
Alex Formenton,19,OTT,LW,1,0,1,-2,,,,,,,,,-0.1
Jakob Forsbacka Karlsson,22,BOS,C,3,6,9,1,,,,,,,,,0.7
Filip Forsberg,24,NSH,C,28,22,50,8,,,,,,,,,6.3
Gustav Forsling,22,CHI,D,3,6,9,-9,,,,,,,,,0.7
Alexandre Fortin,21,CHI,LW,3,3,6,-6,,,,,,,,,0.2
Cam Fowler,27,ANA,D,5,18,23,-14,,,,,,,,,3.6
Trent Frederic,20,BOS,C,0,0,0,-4,,,,,,,,,-0.4
Mark Friedman,23,PHI,D,0,0,0,-1,,,,,,,,,-0.1
Tanner Fritz,27,NYI,C,0,1,1,-3,,,,,,,,,-0.2
Martin Frk,25,DET,RW,1,5,6,-9,,,,,,,,,-0.1
Michael Frolik,30,CGY,LW,16,18,34,24,,,,,,,,,4.2
Kurtis Gabriel,25,NJD,RW,2,2,4,0,,,,,,,,,0.4
Sam Gagner,29,TOT,C,6,7,13,-6,,,,,,,,,0.9
Sam Gagner,29,EDM,C,5,5,10,-3,,,,,,,,,0.8
