"player","position","season","Team","GP","TOI","G","A1","A2","Points","iSF","iFF","iCF","ixG","Sh_perc","F_Sh_perc","xFSH_perc","iBLK","iHF","iHA","GIVE","TAKE","iPENT2","iPEND2","iPENT5","iPEND5","FOW","FOL","FO_diff"
"KYLE.PALMIERI","F","20182019","N.J",47,649.95,14,6,3,23,92,120,141,8.34,15.22,11.67,6.95,22,61,69,22,22,12,12,0,0,17,51,-34
"KYLE.TURRIS","F","20182019","NSH",30,389.97,3,9,0,12,32,47,61,2.06,9.38,6.38,4.38,7,13,31,6,11,3,3,1,1,147,148,-1
"LARS.ELLER","F","20182019","WSH",46,575.5,6,7,3,16,75,107,129,6.29,8,5.61,5.88,11,28,52,26,25,12,11,1,1,234,238,-4
"LAWRENCE.PILUT","D","20182019","BUF",15,250.45,1,3,1,5,16,24,32,0.4,6.25,4.17,1.67,12,11,20,7,3,2,1,0,0,0,0,0
"LAWSON.CROUSE","F","20182019","ARI",45,468.62,5,3,1,9,57,80,94,5.4,8.77,6.25,6.75,14,137,34,11,12,11,10,1,1,7,9,-2
"LEO.KOMAROV","F","20182019","NYI",46,544.12,2,6,5,13,33,50,58,3.63,6.06,4,7.26,16,103,36,9,18,11,12,0,0,33,36,-3
"LEON.DRAISAITL","F","20182019","EDM",47,790.05,17,10,9,36,77,107,132,9.13,22.08,15.89,8.53,11,30,71,48,30,8,11,0,0,269,263,6
"LIAS.ANDERSSON","F","20182019","NYR",21,209.6,1,2,1,4,22,26,32,1.81,4.55,3.85,6.96,4,35,32,8,6,5,3,0,0,24,31,-7
"LIBOR.SULAK","D","20182019","DET",6,102.85,0,0,0,0,7,11,16,0.65,0,0,5.91,3,15,7,9,3,2,1,0,0,0,0,0
"LOGAN.COUTURE","F","20182019","S.J",49,669.23,12,11,6,29,68,101,127,8.13,17.65,11.88,8.05,30,30,42,22,32,3,5,0,0,146,156,-10
"LOUI.ERIKSSON","F","20182019","VAN",48,569.85,6,4,4,14,51,73,88,4.96,11.76,8.22,6.79,13,1,29,4,14,5,4,0,0,1,2,-1
"LUCA.SBISA","D","20182019","NYI",9,122.68,0,0,1,1,4,7,16,0.18,0,0,2.57,5,16,16,3,0,1,0,0,0,0,0,0
